u,v,jaccard,adamic_adar
Tai78641,ggawryal,0.0,0.0
Tai78641,bixia1,0.0,0.0
Tai78641,shawnwang18,0.0,0.0
Tai78641,Tixxx,0.0,0.0
Tai78641,pizzud,0.0,0.0
Tai78641,akhilgoe,0.0,0.0
Tai78641,majnemer,0.0,0.0
Tai78641,tensorflower-gardener,0.0,0.0
Tai78641,alexander-shaposhnikov,0.0,0.0
Tai78641,cantonios,0.0,0.0
Tai78641,mrguenther,0.0,0.0
Tai78641,mkuperst,0.0,0.0
Tai78641,mtsokol,0.0,0.0
Tai78641,protobird-git,0.0,0.0
Tai78641,beckerhe,0.0,0.0
Tai78641,deqiangc,0.0,0.0
Tai78641,mooskagh,0.0,0.0
Tai78641,ermilovmaxim,0.0,0.0
Tai78641,mraunak,0.0,0.0
Tai78641,zvikinoza,0.0,0.0
Tai78641,nvgrw,0.0,0.0
Tai78641,allanrenucci,0.0,0.0
Tai78641,ezhulenev,0.0,0.0
Tai78641,apivovarov,0.0,0.0
hhb,akuegel,0.0,0.0
hhb,ethanluoyc,0.0,0.0
hhb,Becker-ZH,0.0,0.0
hhb,pifon2a,0.0,0.0
hhb,sharadmv,0.0,0.0
hhb,vwbaker,0.0,0.0
hhb,jakeharmon8,0.0,0.0
hhb,mwhittaker,0.0,0.0
hhb,chsigg,0.0,0.0
hhb,belitskiy,0.0,0.0
hhb,WillFroom,0.0,0.0
hhb,EusebioDM,0.0,0.0
hhb,hugomano,0.0,0.0
hhb,Moerafaat,0.0,0.0
hhb,alekstheod,0.0,0.0
hhb,thomasjoerg,0.0,0.0
hhb,jpienaar,0.0,0.0
hhb,yashk2810,0.0,0.0
hhb,ggawryal,0.0,0.0
hhb,bixia1,0.0,0.0
hhb,shawnwang18,0.0,0.0
hhb,Tixxx,0.0,0.0
hhb,pizzud,0.0,0.0
hhb,akhilgoe,0.0,0.0
hhb,majnemer,0.0,0.0
hhb,tensorflower-gardener,0.0,0.0
hhb,alexander-shaposhnikov,0.0,0.0
hhb,cantonios,0.0,0.0
hhb,mrguenther,0.0,0.0
hhb,mkuperst,0.0,0.0
hhb,mtsokol,0.0,0.0
hhb,protobird-git,0.0,0.0
hhb,beckerhe,0.0,0.0
hhb,deqiangc,0.0,0.0
hhb,mooskagh,0.0,0.0
hhb,ermilovmaxim,0.0,0.0
hhb,mraunak,0.0,0.0
hhb,zvikinoza,0.0,0.0
hhb,nvgrw,0.0,0.0
hhb,allanrenucci,0.0,0.0
hhb,ezhulenev,0.0,0.0
hhb,apivovarov,0.0,0.0
akuegel,ethanluoyc,0.0,0.0
akuegel,Becker-ZH,0.0,0.0
akuegel,pifon2a,0.0,0.0
akuegel,sharadmv,0.0,0.0
akuegel,vwbaker,0.0,0.0
akuegel,jakeharmon8,0.0,0.0
akuegel,mwhittaker,0.0,0.0
akuegel,chsigg,0.0,0.0
akuegel,belitskiy,0.0,0.0
akuegel,WillFroom,0.0,0.0
akuegel,hugomano,0.0,0.0
akuegel,Moerafaat,0.0,0.0
akuegel,alekstheod,0.0,0.0
akuegel,thomasjoerg,0.0,0.0
akuegel,jpienaar,0.0,0.0
